Date,Open,High,Low,Close,Adj Close,Volume
2012-07-18,118.769997,119.339996,118.680000,119.339996,70.609528,2350933
2012-07-19,119.309998,119.790001,119.220001,119.550003,70.733795,2356000
2012-07-20,119.220001,119.279999,118.709999,118.830002,70.307785,944400
2012-07-23,118.320000,118.980003,117.989998,118.949997,70.378754,3068100
2012-07-24,118.830002,118.860001,118.110001,118.199997,69.935020,1876433
2012-07-25,118.529999,118.559998,117.959999,117.989998,69.810806,1882433
2012-07-26,118.529999,119.099998,118.500000,118.949997,70.378754,1754200
2012-07-27,119.099998,119.489998,118.980003,119.459999,70.680550,2338067
2012-07-30,119.400002,119.550003,119.250000,119.489998,70.698303,2014100
2012-07-31,119.639999,119.879997,119.400002,119.639999,70.787010,1585433
2012-08-01,119.250000,119.339996,118.949997,119.339996,71.019112,1338567
2012-08-02,119.160004,119.250000,118.800003,118.889999,70.751320,872700
2012-08-03,119.430000,119.669998,119.220001,119.489998,71.108391,1267467
2012-08-06,119.489998,119.849998,119.339996,119.400002,71.054863,1549867
2012-08-07,119.699997,119.699997,119.099998,119.190002,70.929855,1707200
2012-08-08,119.400002,119.489998,119.129997,119.309998,71.001274,923267
2012-08-09,119.459999,119.550003,119.250000,119.400002,71.054863,1249433
2012-08-10,119.430000,119.459999,119.070000,119.250000,70.965561,639933
2012-08-13,119.400002,119.400002,119.070000,119.339996,71.019112,897700
2012-08-14,119.370003,119.639999,119.309998,119.430000,71.072701,1087000
2012-08-15,119.550003,119.550003,118.919998,118.919998,70.769188,839933
2012-08-16,119.040001,119.370003,118.739998,119.190002,70.929855,1385167
2012-08-17,119.129997,119.430000,119.099998,119.250000,70.965561,617733
2012-08-20,119.220001,119.459999,119.129997,119.339996,71.019112,657767
2012-08-21,119.550003,119.760002,119.519997,119.669998,71.215492,1497100
2012-08-22,119.639999,119.699997,119.519997,119.669998,71.215492,749167
2012-08-23,119.760002,119.760002,119.339996,119.550003,71.144119,780433
2012-08-24,119.639999,120.029999,119.430000,119.970001,71.394020,3207833
2012-08-27,120.059998,120.150002,119.760002,119.940002,71.376175,1016067
2012-08-28,119.940002,120.059998,119.820000,119.879997,71.340492,750233
2012-08-29,120.120003,120.120003,119.940002,120.059998,71.447624,883633
2012-08-30,120.089996,120.209999,119.910004,120.089996,71.465454,1448433
2012-08-31,120.330002,120.419998,120.150002,120.419998,71.661827,1146200
2012-09-04,119.730003,119.760002,119.309998,119.580002,71.559517,1936300
2012-09-05,119.699997,119.790001,119.550003,119.639999,71.595398,1130300
2012-09-06,119.820000,120.239998,119.699997,120.239998,71.954453,1896933
2012-09-07,120.300003,120.570000,120.300003,120.540001,72.133987,1471567
2012-09-10,120.540001,120.809998,120.449997,120.570000,72.151955,1407267
2012-09-11,120.750000,121.290001,120.629997,121.139999,72.493050,2205133
